parameter,default_value,units,model_component,evidence_type,source_url,source_locator,justification,plausible_range,notes
input_cost_annual_growth,0.04,fraction per year,Input cost drift,primary,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia,WPI: Health care and social assistance (use latest annual change),Public source provides a defensible anchor; treat as scenario input when uncertain.,(scenario),Proxy for workforce cost growth; adjust as needed.
demand_base,1.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,±25%,
avoidable_ed_share,0.18,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.25–0.55,
discharge_delay_base,1.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,±25%,
bed_capacity_index,1.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
cost_shifting_intensity,0.35,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
fragmentation_index,1.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
audit_pressure,0.5,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
admin_burden_weight,0.25,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.00–0.60,
occupancy_base,0.88,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,±25%,
offload_base_min,18.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,±25%,
within4_base,0.53,fraction,ED performance,secondary,https://www.aihw.gov.au/reports-data/myhospitals/sectors/emergency-department-care,Indicator: ED presentations completed within 4 hours,Public source provides a defensible anchor; treat as scenario input when uncertain.,(scenario),Use latest available national figure when updating.
rr_beta_pressure,0.35,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
rr_beta_offload,0.015,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
offload_threshold_min,20.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
tau,0.25,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
bargaining_cost,0.12,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
political_salience,0.3,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
noise_sd,0.03,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.00–0.10,
